DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
tau+ 0 1.78 153.236 -83 67 -110 tau- 0 1.78 85.1831 80 -18 23
b_quark 0 4.18 166.828 -74 27 147 b_quark 0 4.18 239.448 155 58 -173
W+ 1 80.4 197.629 -126 114 61 W- 1 80.4 167.12 120 -48 -69
b_quark 0 4.18 148.052 138 7 -53 b_quark 0 4.18 117.913 -89 77 6
b_quark 0 4.18 187.847 108 -103 114 b_quark 0 4.18 235.09 -20 141 -187
b_quark 0 4.18 146.641 1 -13 -146 b_quark 0 4.18 189.123 30 25 185
W+ 1 80.4 204.204 -101 97 125 W- 1 80.4 283.946 81 -132 -224
b_quark 0 4.18 149.354 76 -63 -112 b_quark 0 4.18 196.628 -150 -4 127
W+ 1 80.4 206.129 -147 -104 60 W- 1 80.4 179.146 152 43 26
b_quark 0 4.18 193.459 128 -17 -144 b_quark 0 4.18 227.461 -94 -6 207
b_quark 0 4.18 216.775 137 -146 83 b_quark 0 4.18 242.335 -204 122 -47
b_quark 0 4.18 108.685 -55 -93 11 b_quark 0 4.18 201.989 10 181 -89
b_quark 0 4.18 127.324 49 32 -113 b_quark 0 4.18 218.262 -79 24 202
b_quark 0 4.18 185.705 -108 -89 122 b_quark 0 4.18 175.737 96 107 -101
b_quark 0 4.18 122.399 -104 -52 -38 b_quark 0 4.18 208.489 153 140 21
b_quark 0 4.18 199.896 -9 -134 -148 b_quark 0 4.18 236.952 94 78 203
b_quark 0 4.18 77.3981 41 56 -34 b_quark 0 4.18 68.5235 -22 15 -63
b_quark 0 4.18 99.9423 65 39 65 b_quark 0 4.18 222.718 -115 -125 -144
b_quark 0 4.18 121.768 48 25 -109 b_quark 0 4.18 137.973 -87 -65 85
b_quark 0 4.18 209.453 149 76 -126 b_quark 0 4.18 156.101 -66 -35 137
b_quark 0 4.18 98.704 -2 -75 64 b_quark 0 4.18 133.017 -94 82 -46
b_quark 0 4.18 156.849 -72 -74 118 b_quark 0 4.18 187.573 149 -14 -113
b_quark 0 4.18 138.432 -124 49 -37 b_quark 0 4.18 211.727 169 -85 95
b_quark 0 4.18 154.186 -46 18 146 b_quark 0 4.18 135.361 15 -52 -124
b_quark 0 4.18 156.255 -69 41 134 b_quark 0 4.18 153.959 58 -21 -141
b_quark 0 4.18 120.89 106 15 -56 b_quark 0 4.18 171.436 -163 52 10
b_quark 0 4.18 138.829 58 126 4 b_quark 0 4.18 181.779 -155 -80 51
tau+ 0 1.78 131.351 -124 -43 -5 tau- 0 1.78 100.743 61 -52 -61
W+ 1 80.4 175.91 100 32 116 W- 1 80.4 245.057 -113 -74 -188
tau+ 0 1.78 126.448 121 7 36 tau- 0 1.78 262.397 -209 -88 -132
W+ 1 80.4 142.962 83 58 61 W- 1 80.4 200.09 -80 -134 -96
b_quark 0 4.18 190.836 -100 124 105 b_quark 0 4.18 214.913 128 -119 -125
b_quark 0 4.18 166.834 -56 58 -146 b_quark 0 4.18 179.239 16 13 178
W+ 1 80.4 215.507 63 -127 -141 W- 1 80.4 279.768 -151 99 198
b_quark 0 4.18 148.74 -37 -144 1 b_quark 0 4.18 164.932 125 74 78
tau+ 0 1.78 185.419 -94 -65 146 tau- 0 1.78 212.711 191 61 -71
b_quark 0 4.18 135.279 -115 33 -63 b_quark 0 4.18 82.1308 54 56 -26
b_quark 0 4.18 146.504 -74 -29 -123 b_quark 0 4.18 204.028 8 125 161
Z 1 91.2 203.653 102 -132 73 Z 1 91.2 280.769 -127 204 -113
b_quark 0 4.18 106.421 -42 -90 38 b_quark 0 4.18 142.781 38 42 -131
b_quark 0 4.18 182.919 129 120 -49 b_quark 0 4.18 230.457 -224 -54 -1
b_quark 0 4.18 129.632 -115 -59 -9 b_quark 0 4.18 64.4319 22 53 -29
b_quark 0 4.18 206.297 132 149 54 b_quark 0 4.18 261.479 -232 -111 -47
W+ 1 80.4 168.494 -21 98 -109 W- 1 80.4 210.68 109 -160 21
tau+ 0 1.78 154.286 -60 -101 -100 tau- 0 1.78 166.097 47 76 140
b_quark 0 4.18 199.653 -138 -120 -80 b_quark 0 4.18 253.163 193 107 124
b_quark 0 4.18 94.3688 -20 -42 82 b_quark 0 4.18 164.476 21 -5 -163
b_quark 0 4.18 174.093 55 145 -79 b_quark 0 4.18 222.557 45 -217 -20
b_quark 0 4.18 120.542 98 70 -3 b_quark 0 4.18 125.867 -115 -50 10
b_quark 0 4.18 99.4157 -19 -44 87 b_quark 0 4.18 191.307 106 -44 -153
b_quark 0 4.18 46.6741 45 -10 6 b_quark 0 4.18 82.9908 -5 -37 74
b_quark 0 4.18 173.094 78 -116 102 b_quark 0 4.18 82.2282 -58 58 -4
b_quark 0 4.18 105.771 72 -35 69 b_quark 0 4.18 105.477 -28 -60 -82
b_quark 0 4.18 68.4067 -45 6 51 b_quark 0 4.18 132.085 121 42 -32
b_quark 0 4.18 197.895 110 129 -102 b_quark 0 4.18 309.279 -196 -176 162
b_quark 0 4.18 196.093 -141 -73 115 b_quark 0 4.18 165.35 55 117 -103
b_quark 0 4.18 105.828 -30 -81 -61 b_quark 0 4.18 55.3396 -50 -16 17
tau+ 0 1.78 40.0146 -19 9 -34 tau- 0 1.78 70.4781 -54 32 -32
b_quark 0 4.18 38.6455 -4 -28 26 b_quark 0 4.18 74.5619 42 -57 23
W+ 1 80.4 145.397 116 8 -34 W- 1 80.4 125.448 -80 -53 8
W+ 1 80.4 142.328 -68 12 95 W- 1 80.4 115.897 -28 -78 -10
b_quark 0 4.18 120.961 9 42 113 b_quark 0 4.18 115.769 12 -4 -115
W+ 1 80.4 176.582 -104 26 115 W- 1 80.4 256.129 147 -125 -148
W+ 1 80.4 206.78 -113 47 146 W- 1 80.4 229.613 33 -15 -212
b_quark 0 4.18 79.2873 -64 27 38 b_quark 0 4.18 101.619 54 -72 47
Z 1 91.2 181.572 101 119 17 Z 1 91.2 159.682 -56 -101 62
Z 1 91.2 142.125 0 -101 -41 Z 1 91.2 155.253 44 115 -25
b_quark 0 4.18 117.181 -27 -112 21 b_quark 0 4.18 137.206 68 78 -90
b_quark 0 4.18 150.205 -84 -88 88 b_quark 0 4.18 152.163 152 4 -4
W+ 1 80.4 131.492 17 69 76 W- 1 80.4 144.825 31 -18 -115
b_quark 0 4.18 181.787 127 78 -104 b_quark 0 4.18 295.768 -204 -119 178
b_quark 0 4.18 113.927 89 71 0 b_quark 0 4.18 110.029 -62 -18 89
b_quark 0 4.18 155.819 -141 -30 -59 b_quark 0 4.18 192.633 99 108 125
b_quark 0 4.18 85.7699 7 27 -81 b_quark 0 4.18 108.938 -53 -95 -4
b_quark 0 4.18 139.812 -45 -9 132 b_quark 0 4.18 152.219 76 104 -81
b_quark 0 4.18 103.709 8 -45 93 b_quark 0 4.18 26.8974 -15 15 -16
tau+ 0 1.78 114.299 -56 -94 33 tau- 0 1.78 159.854 125 81 58
W+ 1 80.4 207.155 104 -72 -143 W- 1 80.4 207.919 -183 -26 51
b_quark 0 4.18 164.364 3 -67 150 b_quark 0 4.18 170.063 -38 144 -82
b_quark 0 4.18 143.285 37 138 -10 b_quark 0 4.18 180.575 -111 -138 35
W+ 1 80.4 146.431 -67 -60 -83 W- 1 80.4 137.961 67 48 76
b_quark 0 4.18 146.378 -75 30 122 b_quark 0 4.18 107.044 19 66 -82
b_quark 0 4.18 115.536 21 -113 11 b_quark 0 4.18 126.319 -1 103 73
b_quark 0 4.18 50.7491 -6 29 41 b_quark 0 4.18 61.6155 -31 3 -53
b_quark 0 4.18 99.4911 -66 -74 7 b_quark 0 4.18 177.131 147 82 -55
W+ 1 80.4 150.987 45 42 112 W- 1 80.4 181.136 -127 -44 -91
b_quark 0 4.18 97.9769 -38 47 77 b_quark 0 4.18 122.186 16 -120 16
W+ 1 80.4 141.948 -16 55 102 W- 1 80.4 209.041 63 -71 -168
b_quark 0 4.18 184.563 -119 -141 -2 b_quark 0 4.18 157.097 119 90 49
W+ 1 80.4 98.8239 49 30 -1 W- 1 80.4 86.6323 -25 -20 4
W+ 1 80.4 200.233 52 -138 -109 W- 1 80.4 129.978 41 93 10
b_quark 0 4.18 90.0804 -50 46 -59 b_quark 0 4.18 120.596 46 23 109
b_quark 0 4.18 83.633 -47 12 -68 b_quark 0 4.18 142.504 88 -111 -15
W+ 1 80.4 129.248 -89 48 4 W- 1 80.4 151.239 -3 -128 4
b_quark 0 4.18 179.612 5 -147 -103 b_quark 0 4.18 203.92 65 171 90
b_quark 0 4.18 179.899 111 120 75 b_quark 0 4.18 133.935 -59 -38 -114
b_quark 0 4.18 172.1 139 94 -38 b_quark 0 4.18 201.056 -90 -155 91
b_quark 0 4.18 134.296 108 -27 75 b_quark 0 4.18 75.6536 -59 -44 17
b_quark 0 4.18 148.884 -7 28 146 b_quark 0 4.18 141.885 52 61 -117
b_quark 0 4.18 125.469 -114 52 -5 b_quark 0 4.18 177.942 151 -77 -54
b_quark 0 4.18 190.259 90 -145 84 b_quark 0 4.18 158.438 -134 80 -27
W+ 1 80.4 214.397 63 118 -147 W- 1 80.4 114.635 -48 -23 62
b_quark 0 4.18 139.615 85 -63 -91 b_quark 0 4.18 217.125 -171 133 14
W+ 1 80.4 174.505 -74 124 -56 W- 1 80.4 251.317 -4 -202 126
b_quark 0 4.18 194.565 142 -93 95 b_quark 0 4.18 204.618 -117 91 -141
b_quark 0 4.18 177.332 111 8 -138 b_quark 0 4.18 226.359 -111 -22 196
W+ 1 80.4 172.665 -52 143 14 W- 1 80.4 253.451 86 -216 -61
b_quark 0 4.18 184.982 72 -91 144 b_quark 0 4.18 228.03 -126 -2 -190
b_quark 0 4.18 153.455 -115 -91 -45 b_quark 0 4.18 135.906 113 70 -28
W+ 1 80.4 142.187 98 57 30 W- 1 80.4 130.649 -86 -53 -20
b_quark 0 4.18 222.233 149 -120 -113 b_quark 0 4.18 268.126 -179 197 32
b_quark 0 4.18 181.115 99 -22 -150 b_quark 0 4.18 203.803 -21 -26 201
b_quark 0 4.18 57.2667 -43 -33 18 b_quark 0 4.18 77.5917 7 -25 73
b_quark 0 4.18 172.338 -53 -135 93 b_quark 0 4.18 179.662 94 120 -95
b_quark 0 4.18 84.655 -83 2 -16 b_quark 0 4.18 126.184 100 63 44
W+ 1 80.4 143.032 -108 11 -47 W- 1 80.4 135.57 75 79 -7
b_quark 0 4.18 121.241 -76 -91 -25 b_quark 0 4.18 74.0032 7 9 -73
W+ 1 80.4 131.382 -14 20 101 W- 1 80.4 171.24 73 -113 -69
b_quark 0 4.18 124.75 25 78 -94 b_quark 0 4.18 146.675 -12 -126 74
b_quark 0 4.18 145.442 -120 56 60 b_quark 0 4.18 207.488 143 -141 -52
b_quark 0 4.18 196.343 -92 -138 105 b_quark 0 4.18 250.271 145 173 -108
b_quark 0 4.18 114.177 -15 113 -5 b_quark 0 4.18 196.009 17 -183 68
b_quark 0 4.18 129.079 52 4 118 b_quark 0 4.18 172.805 -142 -44 -88
b_quark 0 4.18 52.8722 -29 16 -41 b_quark 0 4.18 23.9682 0 -14 19
b_quark 0 4.18 148.204 93 23 -113 b_quark 0 4.18 229.276 -102 -89 185
tau+ 0 1.78 77.6477 39 -67 4 tau- 0 1.78 105.59 -29 96 -33
b_quark 0 4.18 144.535 81 94 -74 b_quark 0 4.18 125.704 -30 -22 120
b_quark 0 4.18 88.3825 -73 -44 -23 b_quark 0 4.18 191.399 126 128 66
W+ 1 80.4 204.788 -68 149 93 W- 1 80.4 246.905 116 -181 -91
W+ 1 80.4 217.948 -64 125 -146 W- 1 80.4 114.792 -26 -41 66
b_quark 0 4.18 164.716 -52 47 -149 b_quark 0 4.18 145.432 54 -116 69
b_quark 0 4.18 151.906 -115 -92 37 b_quark 0 4.18 224.547 192 106 48
Z 1 91.2 208.46 -99 109 -116 Z 1 91.2 232.386 106 -157 99
b_quark 0 4.18 115.579 -77 -44 -74 b_quark 0 4.18 148.133 -21 -13 146
b_quark 0 4.18 169.17 41 -118 -114 b_quark 0 4.18 80.489 -34 51 52
b_quark 0 4.18 148.062 -16 65 -132 b_quark 0 4.18 261.714 -69 -154 200
b_quark 0 4.18 152.389 -136 -22 -65 b_quark 0 4.18 233.792 216 -8 89
W+ 1 80.4 167.467 101 -54 92 W- 1 80.4 106.312 -49 -6 -49
b_quark 0 4.18 83.0149 33 -69 32 b_quark 0 4.18 155.957 -45 86 -122
b_quark 0 4.18 194.483 119 59 142 b_quark 0 4.18 158.652 -138 -5 -78
b_quark 0 4.18 170.814 130 -32 -106 b_quark 0 4.18 230.244 -115 -31 197
b_quark 0 4.18 203.599 145 57 131 b_quark 0 4.18 264.521 -232 -77 -101
b_quark 0 4.18 99.5564 86 17 -47 b_quark 0 4.18 147.508 -44 -98 101
b_quark 0 4.18 230.138 -145 -111 -140 b_quark 0 4.18 105.321 65 35 75
W+ 1 80.4 207.28 122 124 -79 W- 1 80.4 265.279 -207 -126 72
b_quark 0 4.18 159.243 -58 -59 136 b_quark 0 4.18 127.611 27 83 -93
Z 1 91.2 186.503 125 29 100 Z 1 91.2 204.801 -44 19 -177
b_quark 0 4.18 165.646 -114 76 93 b_quark 0 4.18 206.139 170 -74 -90
b_quark 0 4.18 160.317 112 114 12 b_quark 0 4.18 182.829 -143 -36 -108
b_quark 0 4.18 103.221 -10 -69 76 b_quark 0 4.18 96.0389 89 33 -14
b_quark 0 4.18 66.2908 61 16 20 b_quark 0 4.18 168.251 -141 -87 -29
W+ 1 80.4 219.68 -95 143 -111 W- 1 80.4 282.815 28 -220 156
b_quark 0 4.18 194.099 136 -120 -69 b_quark 0 4.18 243.161 -162 135 121
b_quark 0 4.18 85.9388 -80 -22 -22 b_quark 0 4.18 110.519 64 -1 90
tau+ 0 1.78 191.387 -112 139 -69 tau- 0 1.78 291.026 172 -230 47
W+ 1 80.4 152.434 -12 -118 -52 W- 1 80.4 118.259 -64 49 -32
b_quark 0 4.18 73.9694 51 33 42 b_quark 0 4.18 107.664 -6 -87 -63
b_quark 0 4.18 112.243 89 -68 6 b_quark 0 4.18 137.224 -98 80 -53
b_quark 0 4.18 128.322 50 -85 -82 b_quark 0 4.18 180.775 -117 123 62
tau+ 0 1.78 156.589 -135 -66 -44 tau- 0 1.78 148.772 145 -12 31
tau+ 0 1.78 181.871 -143 95 -60 tau- 0 1.78 89.4269 64 -53 -33
b_quark 0 4.18 192.887 -132 -108 90 b_quark 0 4.18 218.613 138 143 -91
b_quark 0 4.18 187.868 115 64 134 b_quark 0 4.18 176.2 -142 -92 -49
b_quark 0 4.18 173.791 -55 -100 131 b_quark 0 4.18 228.181 4 48 -223
W+ 1 80.4 120.059 -73 11 50 W- 1 80.4 161.308 84 82 -76
b_quark 0 4.18 120.629 -77 91 -18 b_quark 0 4.18 167.082 63 -143 -59
W+ 1 80.4 161.075 -6 -103 -94 W- 1 80.4 181.585 54 92 123
W+ 1 80.4 130.557 -64 71 38 W- 1 80.4 171.389 14 -95 -117
b_quark 0 4.18 224.021 142 90 -148 b_quark 0 4.18 294.528 -221 -32 192
b_quark 0 4.18 149.126 -141 -48 6 b_quark 0 4.18 165.126 158 -38 29
b_quark 0 4.18 130.213 -28 23 125 b_quark 0 4.18 91.052 33 -28 -80
b_quark 0 4.18 152.756 57 122 -72 b_quark 0 4.18 298.291 -144 -200 168
W+ 1 80.4 128.523 35 -27 -90 W- 1 80.4 83.2536 -15 -11 11
W+ 1 80.4 163.839 103 43 -89 W- 1 80.4 171.424 -71 -120 59
b_quark 0 4.18 174.171 10 -107 137 b_quark 0 4.18 89.1037 -17 8 -87
b_quark 0 4.18 132.964 -42 47 -117 b_quark 0 4.18 166.6 -55 53 148
b_quark 0 4.18 178.803 -94 106 109 b_quark 0 4.18 125.026 83 -25 -90
Z 1 91.2 197.948 -7 -136 -111 Z 1 91.2 127.587 -6 86 23
tau+ 0 1.78 170.377 -133 -94 -50 tau- 0 1.78 186.465 182 11 -39
b_quark 0 4.18 94.077 -15 -92 12 b_quark 0 4.18 189.311 -12 181 54
W+ 1 80.4 148.071 79 56 -78 W- 1 80.4 175.209 -64 37 137
b_quark 0 4.18 138.255 130 -26 39 b_quark 0 4.18 164.413 -158 39 -23
b_quark 0 4.18 117.177 -8 68 95 b_quark 0 4.18 67.8047 54 -40 -8
b_quark 0 4.18 167.058 -125 85 71 b_quark 0 4.18 202.688 140 -99 -108
b_quark 0 4.18 157.567 -20 -149 47 b_quark 0 4.18 73.0854 18 62 -34
b_quark 0 4.18 172.298 47 144 -82 b_quark 0 4.18 144.109 -30 -127 61
b_quark 0 4.18 212.425 -141 149 55 b_quark 0 4.18 236.843 123 -202 -12
W+ 1 80.4 168.137 73 59 -114 W- 1 80.4 183.625 -137 -86 33
W+ 1 80.4 181.888 -37 -145 -65 W- 1 80.4 241.549 125 184 49
b_quark 0 4.18 51.8698 -2 50 13 b_quark 0 4.18 108.326 -80 49 -54
b_quark 0 4.18 116.097 -31 20 110 b_quark 0 4.18 210.287 87 -97 -165
b_quark 0 4.18 86.0144 6 28 81 b_quark 0 4.18 123.412 38 -112 -35
b_quark 0 4.18 190.619 -142 125 -23 b_quark 0 4.18 176.95 102 -143 21
W+ 1 80.4 195.666 -109 112 86 W- 1 80.4 251.589 108 -180 -113
b_quark 0 4.18 186.431 113 -19 -147 b_quark 0 4.18 264.13 -59 -79 245
b_quark 0 4.18 140.291 -112 8 -84 b_quark 0 4.18 194.372 59 39 181
b_quark 0 4.18 192.809 134 71 119 b_quark 0 4.18 113.734 -77 -50 -67
W+ 1 80.4 151.889 -51 -89 -78 W- 1 80.4 210.348 63 153 102
W+ 1 80.4 138.72 81 77 -17 W- 1 80.4 129.851 19 -100 -6
b_quark 0 4.18 178.114 -77 73 -143 b_quark 0 4.18 170.709 24 -162 48
b_quark 0 4.18 174.796 82 104 114 b_quark 0 4.18 288.213 -130 -170 -193
b_quark 0 4.18 144.179 84 5 117 b_quark 0 4.18 176.018 -28 70 -159
b_quark 0 4.18 128.119 99 -80 -14 b_quark 0 4.18 218.097 -141 158 -52
b_quark 0 4.18 214.54 -149 120 -97 b_quark 0 4.18 169.94 101 -110 81
b_quark 0 4.18 41.5027 3 36 20 b_quark 0 4.18 108.956 -18 57 -91
b_quark 0 4.18 185.126 -109 98 113 b_quark 0 4.18 177.007 107 -52 -131
b_quark 0 4.18 94.443 -39 55 66 b_quark 0 4.18 211.675 40 -135 -158
b_quark 0 4.18 142.069 73 -14 121 b_quark 0 4.18 249.083 -85 80 -220
b_quark 0 4.18 142.093 -34 99 96 b_quark 0 4.18 169.244 -52 -161 1
b_quark 0 4.18 168.275 113 101 73 b_quark 0 4.18 114.068 -112 -15 -15
b_quark 0 4.18 94.0557 -21 78 48 b_quark 0 4.18 193.11 -77 -177 4
b_quark 0 4.18 133.111 81 48 -94 b_quark 0 4.18 247.41 -127 -136 163
tau+ 0 1.78 184.234 133 127 -11 tau- 0 1.78 181.475 -103 -145 -36
b_quark 0 4.18 211.025 -103 116 -143 b_quark 0 4.18 192.633 105 -73 144
W+ 1 80.4 231.098 -123 113 -138 W- 1 80.4 268.682 151 -61 198
W+ 1 80.4 154.833 33 -106 72 W- 1 80.4 192.339 39 140 -97
b_quark 0 4.18 137.69 53 16 126 b_quark 0 4.18 120.081 -33 52 -103
b_quark 0 4.18 171.798 96 84 115 b_quark 0 4.18 259.134 -196 -141 -94
b_quark 0 4.18 184.311 66 -149 -86 b_quark 0 4.18 54.74 13 53 -1
b_quark 0 4.18 147.934 -43 -103 -97 b_quark 0 4.18 140.248 -4 140 6
b_quark 0 4.18 170.972 -46 -97 133 b_quark 0 4.18 153.491 138 -3 -67
tau+ 0 1.78 147.218 -135 -9 58 tau- 0 1.78 116.791 74 -81 -40
W+ 1 80.4 152.752 94 52 73 W- 1 80.4 150.832 -53 -111 -34
W+ 1 80.4 153.294 -3 -99 -85 W- 1 80.4 176.437 -89 124 37
b_quark 0 4.18 44.1755 42 -7 -11 b_quark 0 4.18 98.9519 -69 -57 42
b_quark 0 4.18 197.146 98 101 -138 b_quark 0 4.18 241.958 -149 -126 143
b_quark 0 4.18 80.5448 -69 22 -35 b_quark 0 4.18 210.025 141 -94 124
b_quark 0 4.18 102.74 -17 -68 75 b_quark 0 4.18 201.145 71 99 -160
b_quark 0 4.18 111.703 -102 34 30 b_quark 0 4.18 88.2976 77 41 -13
b_quark 0 4.18 109.414 -83 -68 21 b_quark 0 4.18 173.754 112 130 27
b_quark 0 4.18 204.395 140 76 -128 b_quark 0 4.18 262.401 -54 -161 200
b_quark 0 4.18 173.72 95 144 20 b_quark 0 4.18 251.878 -30 -226 -107
b_quark 0 4.18 185.748 -110 -143 -44 b_quark 0 4.18 150.634 86 74 99
b_quark 0 4.18 96.7599 92 25 16 b_quark 0 4.18 202.105 -180 -77 50
b_quark 0 4.18 119.212 -33 72 89 b_quark 0 4.18 175.817 73 -154 -43
tau+ 0 1.78 92.4996 -29 -76 44 tau- 0 1.78 68.5869 -59 8 34
W+ 1 80.4 184.191 -110 -109 -59 W- 1 80.4 146.24 25 104 59
W+ 1 80.4 180.978 134 -83 38 W- 1 80.4 248.635 -191 125 -57
b_quark 0 4.18 59.9956 5 34 49 b_quark 0 4.18 59.8872 -30 13 -50
b_quark 0 4.18 145.717 -56 -124 52 b_quark 0 4.18 92.4093 43 63 -52
W+ 1 80.4 123.589 -35 -23 -84 W- 1 80.4 99.4241 -28 -51 6
b_quark 0 4.18 135.958 -117 -17 67 b_quark 0 4.18 173.561 168 -39 -19
b_quark 0 4.18 72.6531 -4 42 -59 b_quark 0 4.18 91.255 -61 58 35
tau+ 0 1.78 165.928 -131 72 -72 tau- 0 1.78 69.9226 61 3 34
b_quark 0 4.18 111.348 -67 76 46 b_quark 0 4.18 76.3379 -27 -59 40
b_quark 0 4.18 139.998 -129 50 21 b_quark 0 4.18 175.287 134 -104 44
b_quark 0 4.18 141.374 48 -129 32 b_quark 0 4.18 267.631 -133 228 44
b_quark 0 4.18 120.006 -68 92 36 b_quark 0 4.18 218.674 114 -182 -41
b_quark 0 4.18 142.771 17 14 -141 b_quark 0 4.18 195.088 -111 80 139
b_quark 0 4.18 185.385 35 145 -110 b_quark 0 4.18 291.992 35 -239 164
b_quark 0 4.18 152.261 137 61 26 b_quark 0 4.18 228.881 -167 -132 -84
b_quark 0 4.18 175.506 136 -25 -108 b_quark 0 4.18 237.326 -191 -40 135
b_quark 0 4.18 120.99 82 -84 29 b_quark 0 4.18 153.998 -136 51 51
W+ 1 80.4 115.188 8 46 68 W- 1 80.4 139.722 -57 20 -97
b_quark 0 4.18 163.421 114 -2 -117 b_quark 0 4.18 155.195 -40 48 142
b_quark 0 4.18 134.352 -110 -67 38 b_quark 0 4.18 128.154 115 45 -34
b_quark 0 4.18 217.227 -108 141 125 b_quark 0 4.18 247.539 87 -200 -117
Z 1 91.2 210.424 -118 121 86 Z 1 91.2 232.361 143 -144 -67
b_quark 0 4.18 129.547 -75 -18 104 b_quark 0 4.18 93.6668 84 16 -38
W+ 1 80.4 210.775 107 88 137 W- 1 80.4 204.825 -164 -63 -68
b_quark 0 4.18 190.821 -145 121 27 b_quark 0 4.18 235.265 148 -172 -62
b_quark 0 4.18 177.852 95 70 -133 b_quark 0 4.18 299.368 -172 -164 182
b_quark 0 4.18 173.812 111 -84 104 b_quark 0 4.18 235.263 -189 59 -127
b_quark 0 4.18 152.048 86 123 -24 b_quark 0 4.18 169.276 -146 -60 -61
b_quark 0 4.18 35.475 -16 -12 29 b_quark 0 4.18 109.506 25 -57 -90
b_quark 0 4.18 148.127 12 -66 -132 b_quark 0 4.18 140.365 74 60 103
b_quark 0 4.18 145.143 -12 132 -59 b_quark 0 4.18 165.277 55 -125 93
b_quark 0 4.18 163.58 143 -66 44 b_quark 0 4.18 169.713 -158 61 10
b_quark 0 4.18 152.704 -39 -132 66 b_quark 0 4.18 203.23 -1 190 -72
b_quark 0 4.18 169.922 106 132 14 b_quark 0 4.18 148.336 -93 -101 56
W+ 1 80.4 177.125 101 -28 118 W- 1 80.4 165.681 -5 -15 -144
Z 1 91.2 146.954 103 -13 -50 Z 1 91.2 158.904 -81 -34 96
b_quark 0 4.18 83.6927 -11 -79 25 b_quark 0 4.18 95.2233 -67 60 31
b_quark 0 4.18 75.1829 -19 -57 45 b_quark 0 4.18 104.74 90 -42 33
W+ 1 80.4 154.936 54 -48 -111 W- 1 80.4 172.305 -56 80 117
tau+ 0 1.78 154.325 -134 -9 76 tau- 0 1.78 148.463 91 91 -74
W+ 1 80.4 185.227 -124 -38 -105 W- 1 80.4 259.257 190 73 139
W+ 1 80.4 173.704 40 -85 122 W- 1 80.4 189.45 -17 157 -67
Z 1 91.2 132.013 10 -93 -19 Z 1 91.2 152.376 8 119 -26
W+ 1 80.4 193.877 -112 -34 132 W- 1 80.4 211.396 192 -8 -36
b_quark 0 4.18 163.727 146 72 -17 b_quark 0 4.18 164.722 -154 -6 -58
W+ 1 80.4 110.856 5 38 66 W- 1 80.4 192.534 -68 59 -150
Z 1 91.2 206.355 124 -85 108 Z 1 91.2 155.214 -41 -13 -118
b_quark 0 4.18 87.507 82 -4 30 b_quark 0 4.18 35.6437 16 -31 6
b_quark 0 4.18 93.0617 -55 73 17 b_quark 0 4.18 61.8989 -21 -58 -3
b_quark 0 4.18 96.143 -27 -89 -24 b_quark 0 4.18 173.356 21 163 55
tau+ 0 1.78 184.708 -123 -128 -51 tau- 0 1.78 226.593 44 219 38
b_quark 0 4.18 156.29 102 -118 9 b_quark 0 4.18 152.232 -23 122 -88
W+ 1 80.4 219.45 -139 -98 -113 W- 1 80.4 249.88 206 102 56
W+ 1 80.4 174.411 79 -5 -133 W- 1 80.4 126.155 -37 -39 81
W+ 1 80.4 206.258 -139 -121 -46 W- 1 80.4 152.906 84 88 46
W+ 1 80.4 144.866 53 88 -63 W- 1 80.4 160.867 -66 -117 -37
b_quark 0 4.18 135.468 78 35 -105 b_quark 0 4.18 98.7495 -63 58 49
b_quark 0 4.18 202.113 136 144 -40 b_quark 0 4.18 210.764 -198 -72 4
W+ 1 80.4 207.736 -47 116 145 W- 1 80.4 269.922 15 -100 -237
b_quark 0 4.18 252.965 -143 -150 145 b_quark 0 4.18 259.254 153 181 -105
Z 1 91.2 151.731 -94 62 -45 Z 1 91.2 205.552 183 2 21
W+ 1 80.4 208.341 -137 22 133 W- 1 80.4 284.567 139 -37 -232
W+ 1 80.4 175.069 -115 12 104 W- 1 80.4 211.135 33 -92 -169
tau+ 0 1.78 142.878 -57 1 -131 tau- 0 1.78 72.9463 54 -1 49
W+ 1 80.4 170.406 18 59 137 W- 1 80.4 119.143 41 -55 -55
b_quark 0 4.18 127.826 119 -44 15 b_quark 0 4.18 214.678 -183 96 58
b_quark 0 4.18 152.962 104 30 -108 b_quark 0 4.18 242.836 -88 -102 202
b_quark 0 4.18 141.631 -117 -73 -32 b_quark 0 4.18 145.336 90 93 66
b_quark 0 4.18 192.98 142 26 128 b_quark 0 4.18 283.243 -135 -100 -228
W+ 1 80.4 166.929 44 131 -48 W- 1 80.4 205.169 -75 -167 46
W+ 1 80.4 175.813 -1 -107 114 W- 1 80.4 227.891 35 201 -62
b_quark 0 4.18 180.661 88 -109 114 b_quark 0 4.18 258.206 -92 142 -195
b_quark 0 4.18 113.747 16 -104 43 b_quark 0 4.18 138.678 -53 42 -121
b_quark 0 4.18 127.681 -12 115 54 b_quark 0 4.18 177.613 108 -128 -59
b_quark 0 4.18 129.114 83 -58 80 b_quark 0 4.18 139.709 -24 77 -114
b_quark 0 4.18 122.493 43 -67 -93 b_quark 0 4.18 169.391 -106 108 76
